rank,name,country,category,sales,profits,assets,marketvalue
356,NIKE,UnitedStates,Household&personalproducts,11.25,0.81,7.38,19.03
357,Tribune,UnitedStates,Media,5.55,0.75,14.27,17.07
358,Telenor,Norway,Telecommunicationsservices,7.93,0.68,13.04,12.3
359,StandardBankGroup,SouthAfrica,Banking,5.14,0.58,45.45,8.1
360,ChunghwaTelecom,Taiwan,Telecommunicationsservices,5.08,1.25,13.44,15.89
361,SCA-SvenskaCellulosa,Sweden,Materials,10.14,0.66,12.58,9.52
362,MichelinGroup,France,Consumerdurables,19.33,0.4,17.09,6.92
363,ErsteBank,Austria,Banking,7.5,0.27,126.93,8.12
364,DeutscheTelekom,Germany,Telecommunicationsservices,56.4,-25.83,132.01,84.18
365,DBSGroup,Singapore,Banking,3.36,0.59,86.02,13.43
366,SAP,Germany,Software&services,8.84,1.36,5.62,54.1
367,GUS,UnitedKingdom,Retailing,11.29,0.4,11.41,14.17
368,Holcim,Switzerland,Construction,9.42,0.37,18.62,10.27
369,TokyoGas,Japan,Utilities,9.54,0.5,13.8,10.3
370,Ingersoll-Rand,Bermuda,Conglomerates,9.88,0.64,10.66,11.56
371,AmerisourceBergen,UnitedStates,Healthcareequipment&services,50.58,0.46,11.81,6.35
372,CreditSuisseGroup,Switzerland,Diversifiedfinancials,38.01,-2.4,683.44,44.13
373,FirstEnergy,UnitedStates,Utilities,12.41,0.18,33.49,12.37
374,FranceTelecom,France,Telecommunicationsservices,57.99,-21.78,107.86,64.36
375,Cemex,Mexico,Construction,7.19,0.63,15.88,9.93
376,MayDeptStores,UnitedStates,Retailing,13.34,0.43,12.04,10.04
377,Firstrand,SouthAfrica,Banking,4.69,0.61,52.81,7.62
378,Accenture,Bermuda,Software&services,13.64,0.55,6.7,22.04
379,BancoPopularEspaqol,Spain,Banking,3.32,0.67,44.01,14.38
380,GeorgeWeston,Canada,Foodmarkets,17.46,0.44,10.57,9.78
381,SberbankofRussia,Russia,Banking,5.63,0.97,34.2,5.95
382,GeneraliGroup,Italy,Insurance,57.9,-0.79,239.21,35.11
383,ChinaUnicom,HongKong/China,Telecommunicationsservices,4.9,0.55,17.93,15.67
384,JFEHoldings,Japan,Materials,20.53,0.13,31.5,14.42
385,ChristianDior,France,Household&personalproducts,15.69,0.19,27.48,10.92
386,HenkelGroup,Germany,Household&personalproducts,11.87,0.67,8.6,11.71
387,LincolnNational,UnitedStates,Insurance,4.8,0.38,100.83,8.3
388,Kyocera,Japan,Businessservices&supplies,9.05,0.37,13.83,13.27
389,Shin-EtsuChemical,Japan,Chemicals,6.75,0.62,10.98,16.32
390,WooriFinanceHoldings,SouthKorea,Banking,7.22,0.5,96.45,4.93
391,MitsubishiEstate,Japan,Diversifiedfinancials,5.77,0.3,25.43,14.84
392,Georgia-Pacific,UnitedStates,Materials,20.26,0.23,24.41,7.64
393,Centex,UnitedStates,Construction,10.44,0.74,15.58,6.17
394,ArevaGroup,France,Materials,8.68,0.25,30.84,9.9
395,TPG,Netherlands,Transportation,12.25,0.63,8.29,11.51
396,SumitomoMitsuiFinancial,Japan,Banking,29.17,-3.94,868.42,31.87
397,E.ON,Germany,Utilities,37.95,-0.73,115.57,43.96
398,MitsubishiTokyoFinl,Japan,Banking,20.65,-1.37,827.48,49.92
399,WestJapanRailway,Japan,Transportation,9.86,0.35,20.06,7.91
400,TaiwanSemiconductor,Taiwan,Semiconductors,4.68,0.62,10.99,39.11
401,Alliance&Leicester,UnitedKingdom,Banking,4.08,0.55,66.42,8.01
402,Aviva,UnitedKingdom,Insurance,52.46,-0.86,287.58,22.96
403,MizuhoFinancial,Japan,Banking,24.4,-20.11,1115.9,30.87
404,ComputerSciences,UnitedStates,Software&services,13.86,0.49,11.11,8.04
405,ZurichFinancialServices,Switzerland,Insurance,47.46,-3.96,263.85,21.83
406,Diageo,UnitedKingdom,Fooddrink&tobacco,11.25,0.13,26.27,41.3
407,HJHeinz,UnitedStates,Fooddrink&tobacco,8.28,0.66,9.41,12.76
408,SouthTrust,UnitedStates,Banking,3.11,0.71,51.92,11.38
409,Telefsnica,Spain,Telecommunicationsservices,29.84,-5.86,60.65,86.39
410,StoraEnso,Finland,Materials,15.31,0.18,22.55,11.02
411,ImperialTobaccoGroup,UnitedKingdom,Fooddrink&tobacco,5.32,0.7,11.53,15.42
412,TelecomItalia,Italy,Telecommunicationsservices,32.99,-0.81,85.03,46.57
413,Kohl`s,UnitedStates,Retailing,9.9,0.62,7.14,16.54
414,Degussa,Germany,Chemicals,12.36,0.36,15.53,7.59
415,MatsushitaElectricIndl,Japan,Consumerdurables,62.62,-0.16,60.46,33.02
416,Comerica,UnitedStates,Banking,3.3,0.66,52.59,10.08
417,Sasol,SouthAfrica,Oil&gasoperations,8.64,1.05,9.36,9.33
418,Interbrew,Belgium,Fooddrink&tobacco,7.34,0.49,11.5,12.9
419,AmeradaHess,UnitedStates,Oil&gasoperations,14.31,0.64,13.98,5.42
420,RegionsFinancial,UnitedStates,Banking,3.73,0.64,48.79,8.23
421,SempraEnergy,UnitedStates,Utilities,7.49,0.58,18.05,7.02
422,TDCGroup,Denmark,Telecommunicationsservices,7.23,0.64,12.81,8.92
423,Itochu,Japan,Tradingcompanies,88.51,0.17,37.2,5.46
424,NorfolkSouthern,UnitedStates,Transportation,6.47,0.42,20.6,8.71
425,STMicroelectronics,Switzerland,Semiconductors,7.98,0.28,11.98,24.11
426,PPL,UnitedStates,Utilities,5.57,0.73,17.13,8.01
427,SuezGroup,France,Utilities,48.41,-0.91,88.39,22.35
428,ConstellationEnergy,UnitedStates,Utilities,9.7,0.48,15.8,6.68
429,SunHungKaiProperties,China,Diversifiedfinancials,2.94,0.84,20.66,24.02
430,Unocal,UnitedStates,Oil&gasoperations,6.4,0.73,11.8,9.58
431,HVB-HypoVereinsbank,Germany,Banking,40.52,-0.87,705.36,14.49
432,MagnaInternational,Canada,Consumerdurables,12.94,0.52,9.97,7.65
433,Qualcomm,UnitedStates,Technologyhardware&equipment,4.12,0.94,9.03,46.45
434,ElectroluxGroup,Sweden,Consumerdurables,15.34,0.59,9.5,6.93
435,VivendiUniversal,France,Media,32.05,-5.1,72.79,29.12
436,CITGroup,UnitedStates,Diversifiedfinancials,3.73,0.57,46.34,8.06
437,DTEEnergy,UnitedStates,Utilities,7.03,0.52,19.94,6.6
438,SwissReGroup,Switzerland,Insurance,27.53,-0.07,112.2,23.44
439,UnitedOverseasBank,Singapore,Banking,2.68,0.61,61.92,12.77
440,ChugokuElectricPower,Japan,Utilities,8.54,0.37,23.36,6.41
441,Apache,UnitedStates,Oil&gasoperations,4.2,1.1,12.42,12.82
442,PortugalTelecom,Portugal,Telecommunicationsservices,5.87,0.41,12.64,14.25
443,EastmanKodak,UnitedStates,Household&personalproducts,13.32,0.27,14.76,8.32
444,UFJHoldings,Japan,Banking,17.16,-5.15,665.67,23.71
445,M&TBank,UnitedStates,Banking,2.96,0.57,49.83,11.35
446,NorthernRock,UnitedKingdom,Banking,4.3,0.49,66.36,6.12
447,Wolseley,UnitedKingdom,Tradingcompanies,13.24,0.48,7.81,9.08
448,Paccar,UnitedStates,Consumerdurables,8.19,0.53,9.94,9.62
449,EDP-ElecdePortugal,Portugal,Utilities,6.71,0.35,18.47,8.39
450,MitsuiFudosan,Japan,Diversifiedfinancials,9.16,0.22,24.36,8.52
451,DepfaBank,Ireland,Diversifiedfinancials,6.85,0.25,153.2,5.61
452,SuzukiMotor,Japan,Consumerdurables,17.05,0.26,12.35,8.04
453,CharlesSchwab,UnitedStates,Diversifiedfinancials,3.84,0.25,43.76,17.09
454,Itazsa,Brazil,Banking,9.22,0.43,32.39,4.19
455,BGGroup,UnitedKingdom,Oil&gasoperations,4.2,0.66,10.88,18.39
456,Staples,UnitedStates,Retailing,12.84,0.44,6.32,12.64
457,PepsiBottlingGroup,UnitedStates,Fooddrink&tobacco,10.27,0.42,11.54,7.33
458,SABMiller,UnitedKingdom,Fooddrink&tobacco,6.93,0.3,12.87,13.37
459,Accor,France,Hotelsrestaurants&leisure,8.59,0.38,11.84,8.99
460,PhilipsGroup,Netherlands,Conglomerates,33.42,-3.37,32.71,41.58
461,PTTPublicCompany,Thailand,Oil&gasoperations,9.27,0.57,6.83,12.37
462,ABBGroup,Switzerland,Capitalgoods,20.41,0.11,29.53,12.12
463,GasNaturalSDG,Spain,Utilities,5.53,0.85,9.25,11.28
464,DaiNipponPrinting,Japan,Media,11.07,0.24,11.86,11.16
465,BurlingtonResources,UnitedStates,Oil&gasoperations,4.07,1.03,12.58,11.12
466,HartfordFinlService,UnitedStates,Insurance,17.73,-0.29,211.37,18.56
467,MarriottIntl,UnitedStates,Hotelsrestaurants&leisure,9.01,0.5,8.18,10.3
468,TransCanada,Canada,Utilities,4.13,0.66,15.85,9.86
469,InterActiveCorp,UnitedStates,Retailing,6.33,0.17,21.59,22.72
470,Legal&GeneralGroup,UnitedKingdom,Insurance,36.1,-0.29,167.94,12.22
471,Safeco,UnitedStates,Insurance,7.17,0.26,35.84,6.31
472,TysonFoods,UnitedStates,Fooddrink&tobacco,25.25,0.36,10.42,5.78
473,Altadis,Spain,Fooddrink&tobacco,9.45,0.46,8.66,9.48
474,PPGIndustries,UnitedStates,Chemicals,8.76,0.5,8.42,10.03
475,ShinhanFinancial,SouthKorea,Banking,3.97,0.51,56.2,5.81
476,AmSouthBancorp,UnitedStates,Banking,2.94,0.62,44.34,8.83
477,EquityOfficeProp,UnitedStates,Diversifiedfinancials,3.11,0.66,24.19,11.35
478,Sibneft,Russia,Oil&gasoperations,4.7,1.14,7.55,15.88
479,LimitedBrands,UnitedStates,Retailing,8.67,0.68,7.28,9.8
480,SolvayGroup,Belgium,Chemicals,9.5,0.54,9.5,7.12
481,Takefuji,Japan,Diversifiedfinancials,3.57,0.8,16.33,10.32
482,EADS,Netherlands,Aerospace&defense,31.41,-0.31,47.82,18.17
483,BCP-BcoComPortugujs,Portugal,Banking,4.12,0.29,64.97,7.96
484,KirinBrewery,Japan,Fooddrink&tobacco,9.07,0.27,14.2,8.66
485,SingaporeAirlines,Singapore,Transportation,5.96,0.6,10.88,8.58
486,Textron,UnitedStates,Conglomerates,9.86,0.27,15.09,7.6
487,Marubeni,Japan,Tradingcompanies,74.39,0.26,35.23,3
488,DukeEnergy,UnitedStates,Utilities,21.58,-1.16,54.99,19.41
489,Eletrobras,Brazil,Utilities,5.46,0.31,33.94,6.34
490,Acom,Japan,Diversifiedfinancials,3.7,0.64,18.44,9.56
491,NomuraHoldings,Japan,Diversifiedfinancials,7.59,0.09,178.14,31.06
492,MitsubishiMotors,Japan,Consumerdurables,32.87,0.32,19.86,3.46
493,NationwideFinancial,UnitedStates,Insurance,3.91,0.39,105.38,5.84
494,AbbeyNational,UnitedKingdom,Banking,15.28,-1.93,331.21,15.47
495,Scottish&Southern,UnitedKingdom,Utilities,6.42,0.7,7.76,10.63
496,Jefferson-Pilot,UnitedStates,Insurance,3.65,0.49,32.7,7.55
497,ValedoRioDoce,Brazil,Materials,4.15,0.58,9.45,20.96
498,HuskyEnergy,Canada,Oil&gasoperations,5.91,1.02,9.09,7.86
499,Orix,Japan,Diversifiedfinancials,5.19,0.21,50.03,7.89
500,Commerzbank,Germany,Banking,22.43,-0.31,437.86,11
501,AirProds&Chems,UnitedStates,Chemicals,6.54,0.4,9.79,11.43
502,SouthwestAirlines,UnitedStates,Transportation,5.84,0.44,9.88,11.49
503,CharterOneFinl,UnitedStates,Banking,2.81,0.63,42.63,8.25
504,Aiful,Japan,Diversifiedfinancials,3.8,0.51,19.17,8.95
505,BPVNGroup,Italy,Banking,3.54,0.45,50.48,6.61
506,Praxair,UnitedStates,Chemicals,5.61,0.59,8.31,11.61
507,CampbellSoup,UnitedStates,Fooddrink&tobacco,6.88,0.65,6.74,11.37
508,NationalBankofCanada,Canada,Banking,3.47,0.47,62.24,6.02
509,CarsoGlobalTelecom,Mexico,Telecommunicationsservices,10.89,0.28,16.72,5.47
510,SuncorEnergy,Canada,Oil&gasoperations,4.87,0.84,7.95,11.55
511,HannoverRe,Germany,Insurance,9.37,0.28,27.45,4.61
512,DRHorton,UnitedStates,Construction,9.19,0.7,7.17,7.07
513,ReckittBenckiser,UnitedKingdom,Household&personalproducts,5.69,0.66,5.64,17.95
514,TJXCos,UnitedStates,Retailing,12.73,0.57,4.45,11.62
515,MalayanBanking,Malaysia,Banking,2.51,0.53,42.08,9.76
516,AssocBritishFoods,UnitedKingdom,Fooddrink&tobacco,7.73,0.52,7.42,8.8
517,StGeorgeBank,Australia,Banking,2.94,0.45,42.66,8.07
518,Porsche,Germany,Consumerdurables,6.28,0.64,7.18,10.07
519,Ameren,UnitedStates,Utilities,4.59,0.51,14.32,7.53
520,Marshall&Ilsley,UnitedStates,Banking,2.75,0.53,33.75,8.78
521,YumBrands,UnitedStates,Hotelsrestaurants&leisure,8.38,0.62,5.62,10.39
522,ABSAGroup,SouthAfrica,Diversifiedfinancials,4.99,0.43,34.06,4.46
523,Finmeccanica,Italy,Aerospace&defense,8.17,0.21,17.52,7.7
524,Fujitsu,Japan,Technologyhardware&equipment,39.06,-1.03,33.77,12.32
525,Eaton,UnitedStates,Capitalgoods,8.06,0.39,8.22,9.05
526,FortuneBrands,UnitedStates,Conglomerates,5.91,0.58,7.44,10.34
527,CheungKong,HongKong/China,Diversifiedfinancials,0.31,1.14,25.8,22.05
528,ToppanPrinting,Japan,Media,10.59,0.25,10.91,7.81
529,Ahold,Netherlands,Foodmarkets,70.57,-1.27,25.51,13.3
530,UnisnFenosa,Spain,Utilities,6.13,0.36,15.71,6.35
531,Danaher,UnitedStates,Capitalgoods,5.29,0.54,6.89,14.21
532,Nintendo,Japan,Consumerdurables,4.26,0.57,9.06,12.8
533,Cepsa,Spain,Oil&gasoperations,8.85,0.48,6.31,9.29
534,Kao,Japan,Household&personalproducts,7.32,0.53,5.87,11.86
535,Loews,UnitedStates,Insurance,16.1,-0.72,77.79,11.98
536,NewmontMining,UnitedStates,Materials,3.21,0.51,11.05,19.73
537,SekisuiHouse,Japan,Construction,10.84,0.29,10.19,6.88
538,NEC,Japan,Technologyhardware&equipment,39.72,-0.21,29.93,12.22
539,AutoNation,UnitedStates,Retailing,18.2,0.49,8.22,4.49
540,Adecco,Switzerland,Businessservices&supplies,18.17,0.26,6.13,10.22
541,NorthernTrust,UnitedStates,Banking,2.62,0.37,40.74,10.78
542,Brascan,Canada,Diversifiedfinancials,5.07,0.44,16.32,6.01
543,HeinekenHolding,Netherlands,Fooddrink&tobacco,9.47,0.42,8.17,6.88
544,MitsubishiChemical,Japan,Chemicals,15.97,0.18,17.13,5.71
545,LMEricsson,Sweden,Technologyhardware&equipment,16.79,-2.19,21.16,44.06
546,DnBHolding,Norway,Banking,4.3,0.34,55.51,4.85
547,Boots,UnitedKingdom,Foodmarkets,8.41,0.48,5.69,10.99
548,Richemont,Switzerland,Household&personalproducts,3.95,0.79,7.72,13.98
549,PulteHomes,UnitedStates,Construction,9.05,0.62,8.07,5.71
550,Lennar,UnitedStates,Construction,8.66,0.69,6.22,7.38
551,NipponSteel,Japan,Materials,23.26,-0.44,31.14,13.38
552,FiatGroup,Italy,Consumerdurables,58.22,-4.15,96.92,6.92
553,EnBW-EnergieBaden,Germany,Utilities,9.09,0.16,22.19,7.35
554,FubonFinancial,Taiwan,Diversifiedfinancials,3.97,0.27,33.38,7.56
555,KeySpan,UnitedStates,Utilities,6.85,0.4,13,5.79
556,CSX,UnitedStates,Transportation,7.79,0.19,21.75,6.76
557,FidelityNationalFinl,UnitedStates,Insurance,7.26,0.84,7.4,6.37
558,Novo-Nordisk,Denmark,Drugs&biotechnology,4.49,0.82,5.81,15.75
559,NatexisBanquesPopulaire,France,Banking,10.08,0.11,140.13,5.78
560,Linde,Germany,Capitalgoods,9.17,0.25,12.67,6.61
561,Alcatel,France,Technologyhardware&equipment,17.38,-4.98,25.58,20.43
562,SumitomoChemical,Japan,Chemicals,9.4,0.26,12.36,6.31
563,ResonaHoldings,Japan,Banking,8.97,-7.09,358.44,13.41
564,BAA,UnitedKingdom,Transportation,3,0.59,14.77,10.69
565,Bunge,Bermuda,Fooddrink&tobacco,22.17,0.41,9.88,3.69
566,TurkiyeIsBankasi,Turkey,Banking,4.23,0.31,23.73,6.68
567,CanadianNational,Canada,Transportation,3.89,0.36,12.04,11.74
568,AmericanElectric,UnitedStates,Utilities,15.58,-0.16,36.08,13.21
569,PitneyBowes,UnitedStates,Businessservices&supplies,4.58,0.5,8.89,9.62
570,Daiei,Japan,Retailing,18.61,1.15,19.01,0.94
571,AisinSeiki,Japan,Consumerdurables,11.91,0.41,10.16,4.41
572,VattenfallEurope,Germany,Utilities,9.31,0.2,17.55,5.78
573,CNOOCHong,Kong/China,Oil&gasoperations,3.19,1.12,7.38,16.96
574,NanYaPlastic,Taiwan,Chemicals,4.96,0.4,9.47,9.27
575,Cinergy,UnitedStates,Utilities,4.42,0.45,13.63,6.85
576,McGraw-HillCos,UnitedStates,Media,4.83,0.66,5.25,14.63
577,RoyalKPN,Netherlands,Telecommunicationsservices,12.38,-10.02,26.36,20.64
578,NationalBankofGreece,Greece,Banking,3.47,0.22,56.65,7.51
579,RohmandHaas,UnitedStates,Chemicals,6.42,0.29,9.45,8.82
580,ColesMyer,Australia,Foodmarkets,17.52,0.33,5.32,7.34
581,BOCGroup,UnitedKingdom,Chemicals,6.19,0.36,8.03,8.68
582,Promise,Japan,Diversifiedfinancials,3.47,0.51,15.63,7.4
583,WPP,UnitedKingdom,Media,6.29,0.14,15.53,13.57
584,ScheringGroup,Germany,Drugs&biotechnology,6.07,0.56,5.66,9.95
585,Harley-Davidson,UnitedStates,Consumerdurables,4.62,0.76,4.92,16.07
586,MitsubishiElectric,Japan,Capitalgoods,30.79,-0.1,26.24,10.28
587,NorilskNickel,Russia,Materials,3.08,0.58,9.69,14.48
588,ToyotaIndustries,Japan,Consumerdurables,9.05,0.19,13.94,7.08
589,FormosaPetrochemical,Taiwan,Oil&gasoperations,4.89,0.33,8.82,11.1
590,Lear,UnitedStates,Consumerdurables,15.75,0.38,8.57,4.35
591,TenagaNasional,Malaysia,Utilities,4.33,0.29,15.78,7.74
592,CLPHoldings,China,Utilities,3.35,0.91,7.79,11.99
593,Syngenta,Switzerland,Chemicals,7.08,0.29,9.86,7.32
594,Woolworths,Australia,Foodmarkets,17.74,0.44,3.85,9.14
595,Arcelor,Luxembourg,Materials,25.77,-0.2,25.54,10.23
596,DelhaizeGroup,Belgium,Foodmarkets,23.66,0.19,11.37,4.91
597,ChinaLifeInsurance,China,Insurance,8.59,-0.27,37.9,19.46
598,BanchePopolariUnite,Italy,Banking,4.02,0.2,66.12,5.73
599,Whirlpool,UnitedStates,Consumerdurables,12.18,0.42,7.36,5
600,YamanouchiPharm,Japan,Drugs&biotechnology,4.29,0.51,7.32,11.02
601,H&MHennes&Mauritz,Sweden,Retailing,6.39,0.85,3.4,22.29
602,Assurant,UnitedStates,Insurance,6.92,0.32,22.87,3.51
603,AmericanStandard,UnitedStates,Capitalgoods,8.57,0.41,5.89,7.7
604,AlliedDomecq,UnitedKingdom,Fooddrink&tobacco,4.31,0.54,7.78,8.98
605,SafewayPlc,UnitedKingdom,Foodmarkets,13.65,0.27,7.81,5.79
606,GrupoFerrovial,Spain,Construction,5.29,0.48,11.78,5.11
607,OsakaGas,Japan,Utilities,8.02,0.25,9.91,6.71
608,BancaAntonveneta,Italy,Banking,3.71,0.23,51.82,5.73
609,WilliamsCos,UnitedStates,Utilities,17.8,0.1,30.3,5.25
610,BectonDickinson,UnitedStates,Healthcareequipment&services,4.53,0.55,5.57,12.35
611,Popular,UnitedStates,Banking,2.66,0.45,35.78,5.99
612,AtlasCopco,Sweden,Capitalgoods,6.2,0.45,6.37,7.79
613,BaoshanIron&Steel,China,Materials,4.07,0.52,7.43,10.34
614,SovereignBancorp,UnitedStates,Banking,2.45,0.4,43.51,6.69
615,Thales,France,Aerospace&defense,11.67,0.12,19.13,6.68
616,NipponExpress,Japan,Transportation,14.19,0.2,9.97,5.58
617,BostonScientific,UnitedStates,Healthcareequipment&services,3.48,0.47,5.7,34.9
618,HellenicTelecom,Greece,Telecommunicationsservices,4.53,0.41,9.3,7.69
619,Hanson,UnitedKingdom,Construction,5.83,0.3,10.93,6
620,JardineMatheson,Bermuda,Foodmarkets,7.4,0.35,8.24,5.91
621,SompoJapanInsurance,Japan,Insurance,14.41,-0.25,43.23,8.09
622,HughesElectronics,UnitedStates,Media,10.12,-0.3,18.95,23.56
623,CablevisionNYGroup,UnitedStates,Media,4,0.43,10.82,7.37
624,BritishAirways,UnitedKingdom,Transportation,12.15,0.11,20.33,6.36
625,CenterPointEnergy,UnitedStates,Utilities,9.36,0.29,20.06,3.16
626,Oversea-ChineseBanking,Singapore,Banking,1.99,0.38,48.4,9.66
627,PernodRicard,France,Fooddrink&tobacco,4.45,0.43,7.92,8.44
628,ChinatrustFinancial,Taiwan,Banking,3.04,0.31,27.01,6.67
629,DSM,Netherlands,Chemicals,7.61,0.29,11.82,4.64
630,Scottish&Newcastle,UnitedKingdom,Fooddrink&tobacco,5.52,0.22,13.42,6.71
631,IndustrialBankofKorea,SouthKorea,Banking,4.83,0.49,56.06,2.55
632,ImperialChemicalInds,UnitedKingdom,Chemicals,9.86,0.29,8.8,5.04
633,Merck,Germany,Drugs&biotechnology,7.85,0.21,7.69,9.06
634,Ajinomoto,Japan,Fooddrink&tobacco,8.36,0.28,7.02,7.42
635,MatsushitaElectricWorks,Japan,Capitalgoods,11.26,0.19,9.37,6.54
636,MazdaMotor,Japan,Consumerdurables,20,0.2,13.8,3.44
637,Sunoco,UnitedStates,Oil&gasoperations,15.87,0.31,6.93,4.51
638,MBIA,UnitedStates,Insurance,1.47,0.61,30.27,9.35
639,StarwoodHotels,UnitedStates,Hotelsrestaurants&leisure,3.94,0.31,11.89,7.8
640,Enbridge,Canada,Oil&gasoperations,3.75,0.54,10.52,6.62
641,CathayPacificAirways,China,Transportation,4.24,0.51,9.18,6.53
642,SanyoElectric,Japan,Consumerdurables,19.24,-0.62,21.65,9.43
643,MANGroup,Germany,Capitalgoods,18.87,0.14,11.82,5.35
644,Continental,Germany,Consumerdurables,11.98,0.24,8.5,5.22
645,DeanFoods,UnitedStates,Fooddrink&tobacco,9.18,0.36,6.99,5.33
646,Safeway,UnitedStates,Foodmarkets,35.55,-0.17,15.12,9.92
647,ElectronicDataSys,UnitedStates,Software&services,21.48,-0.27,18.28,9.98
648,BAESystems,UnitedKingdom,Aerospace&defense,13,-1.1,24.94,10.11
649,FujiHeavyInds,Japan,Consumerdurables,11.61,0.28,11.09,3.55
650,Halliburton,UnitedStates,Oil&gasoperations,16.27,-0.81,15.47,13.86
651,OfficeDepot,UnitedStates,Retailing,12.36,0.3,6.15,5.42
652,PG&E,UnitedStates,Utilities,9.91,-1.8,27.76,11.46
653,Royal&SunAlliance,UnitedKingdom,Insurance,20.61,-1.51,86.56,5.2
654,Secom,Japan,Businessservices&supplies,4.43,0.3,8.9,8.6
655,HonHaiPrecisionInd,Taiwan,Technologyhardware&equipment,7.44,0.49,3.81,11.64
656,HanaBank,SouthKorea,Banking,3.28,0.27,63.86,4.49
657,UnionPlanters,UnitedStates,Banking,2.4,0.5,31.91,5.67
658,PublicPower,Greece,Utilities,3.59,0.5,10.87,6.49
659,Autostrade,Italy,Transportation,2.46,0.56,8.13,20.61
660,YamatoTransport,Japan,Transportation,8.22,0.41,5.37,6.65
661,AvonProducts,UnitedStates,Household&personalproducts,6.55,0.6,3.36,15.99
662,FirstTennesseeNatl,UnitedStates,Banking,2.69,0.47,24.47,5.67
663,JapanAirlinesSys,Japan,Transportation,17.63,0.1,18.03,5.99
664,DixonsGroup,UnitedKingdom,Retailing,9.22,0.33,6.53,5.49
665,Sandvik,Sweden,Capitalgoods,5.61,0.4,5.65,8.36
666,SabanciGroup,Turkey,Diversifiedfinancials,5.22,0.23,18.59,4.86
667,SimonPropertyGroup,UnitedStates,Diversifiedfinancials,2.19,0.48,15.68,10.79
668,SeagateTechnologyCayman,Islands,Technologyhardware&equipment,6.67,0.74,4.04,7.9
669,QantasAirways,Australia,Transportation,7.66,0.23,11.42,4.92
670,Sankyo(pharma),Japan,Drugs&biotechnology,4.82,0.29,7.5,9.23
671,Capitalia,Italy,Banking,9.61,-0.3,146.67,6.36
672,FranklinResources,UnitedStates,Diversifiedfinancials,2.75,0.56,7.42,14.54
673,SumitomoMetalInds,Japan,Materials,10.36,0.14,17.44,4.6
674,TeliaSoneraGroup,Sweden,Telecommunicationsservices,6.85,-0.93,21.97,22.51
675,RoyalCaribbean,Liberia,Hotelsrestaurants&leisure,3.78,0.28,11.32,8.09
676,SynovusFinl,UnitedStates,Banking,2.41,0.39,21.02,7.55
677,SprintPCS,UnitedStates,Telecommunicationsservices,12.69,-0.66,21.85,9.54
678,ITTIndustries,UnitedStates,Conglomerates,5.63,0.4,5.95,7.1
679,SKCorp,SouthKorea,Oil&gasoperations,36.59,-2.02,34.91,4.99
680,EverestReGroup,Bermuda,Insurance,4.11,0.43,12.68,4.82
681,Scania,Sweden,Capitalgoods,5.45,0.32,7.56,6.58
682,Suncorp-Metway,Australia,Diversifiedfinancials,3.44,0.26,25.79,5.3
683,TXU,UnitedStates,Utilities,10.77,-4.09,30.77,7.89
684,HeidelbergCement,Germany,Construction,6.9,0.26,11.55,4.39
685,BancaNazdelLavoro,Italy,Banking,5.74,0.1,86.49,5.9
686,Bombardier,Canada,Aerospace&defense,15.55,-0.4,18.61,8.68
687,mmO2,UnitedKingdom,Telecommunicationsservices,7.7,-16.03,21.12,14.69
688,BankMandiri,Indonesia,Banking,3.75,0.4,27.75,3.33
689,Celesio,Germany,Healthcareequipment&services,19.31,0.25,5.75,4.68
690,SunMicrosystems,UnitedStates,Technologyhardware&equipment,11.2,-1.45,12.22,18.51
691,CoxCommunications,UnitedStates,Media,5.67,-0.14,24.42,20.48
692,Rohm,Japan,Semiconductors,2.96,0.45,6.76,13.52
693,SodexhoAlliance,France,Hotelsrestaurants&leisure,12.84,0.18,8.81,5.08
694,CincinnatiFinancial,UnitedStates,Insurance,3.06,0.3,14.96,6.95
695,LucentTechnologies,UnitedStates,Technologyhardware&equipment,8.65,-0.17,15.42,18.36
696,SamsungSDI,SouthKorea,Businessservices&supplies,5.59,0.5,4.83,6.89
697,Mattel,UnitedStates,Household&personalproducts,4.96,0.54,4.51,8.07
698,MurataManufacturing,Japan,Businessservices&supplies,3.34,0.33,6.97,13.07
699,Delphi,UnitedStates,Consumerdurables,28.1,-0.06,20.9,5.93
700,SwissLifeHolding,Switzerland,Insurance,15.75,-1.23,113.34,4.26
701,AirFranceGroup,France,Transportation,13.82,0.13,13.61,4.42
702,HuntingtonBancshs,UnitedStates,Banking,2.41,0.36,30.1,5.26
703,Supervalu,UnitedStates,Foodmarkets,19.78,0.25,6.12,3.93
704,Conseco,UnitedStates,Diversifiedfinancials,4.75,0.53,29.86,2.26
705,SwirePacific,China,Diversifiedfinancials,1.95,0.69,12.46,9.94
706,H&RBlock,UnitedStates,Businessservices&supplies,3.66,0.65,4.46,10.64
707,ASFA-Autoroutes,France,Transportation,2.82,0.28,13.78,8.23
708,Guidant,UnitedStates,Healthcareequipment&services,3.7,0.33,4.64,19.51
709,AmbacFinancialGroup,UnitedStates,Insurance,1.27,0.62,16.75,8.15
710,AsahiGlass,Japan,Construction,10.96,-0.03,14.73,10.75
711,VNU,Netherlands,Media,4.49,0.18,11.1,7.68
712,CibaSpecialtyChemicals,Switzerland,Chemicals,5.36,0.28,8.41,5.46
713,OjiPaper,Japan,Materials,10.26,0.1,13.52,6.35
714,Torchmark,UnitedStates,Insurance,2.88,0.43,13.22,5.66
